ZeroBus Number,RealPower Loss (kW),Reactive Power loss (kVAR), DG Real power(kW), Reactive Power (MVAr), Power Injection (kW)
1,202.677,135.141,0,0,0
2,189.369,128.16,3533.653,2196.822,371.5
3,133.556,98.736,3477.937,2166.098,371.5
4,115.417,88.854,3459.823,2154.944,371.5
5,100.298,80.517,3444.723,2145.515,371.5
6,73.046,57.122,3417.463,2104.421,371.5
7,80.007,81.172,3424.463,2084.876,371.5
8,115.291,92.667,3459.769,2120.183,371.5
9,177.551,137.386,3522.041,2156.261,371.5
10,244.005,184.474,3588.488,2196.663,371.5
11,257.1,188.787,3601.578,2207.789,371.5
12,282.954,197.305,3627.456,2229.918,371.5
13,388.963,280.682,3733.472,2288.487,371.5
14,429.728,334.348,3774.23,2300.482,371.5
15,477.776,377.11,3822.285,2323.527,371.5
16,540.171,422.672,3884.691,2360.036,371.5
17,651.125,570.813,3995.646,2392.718,371.5
18,715.863,621.577,4060.393,2430.219,371.5
19,203.746,141.879,3548.102,2203.401,371.5
20,343.292,267.616,3687.681,2273.393,371.5
21,383.266,314.315,3727.649,2288.546,371.5
22,455.813,410.236,3800.216,2311.84,371.5
23,156.691,114.525,3501.093,2181.37,371.5
24,207.839,154.914,3552.25,2211.176,371.5
25,279.502,210.989,3623.921,2252.897,371.5
26,79.636,60.399,3424.064,2106.827,371.5
27,89.836,65.483,3434.284,2110.544,371.5
28,131.788,102.543,3476.265,2101.248,371.5
29,166.774,133.065,3511.252,2098.605,371.5
30,192.338,146.07,3536.821,2111.955,371.5
31,262.922,215.825,3607.395,2139,371.5
32,287.655,244.653,3632.114,2150.064,371.5
33,318.211,292.162,3662.7,2147.837,371.5
