ZeroBus Number,RealPower Loss (kW),Reactive Power loss (kVAR), DG Real power(kW), Reactive Power (MVAr), Power Injection (kW)
1,202.677,135.141,0,0,0
2,190.493,128.774,2791.776,1737.22,1114.5
3,137.464,100.971,2738.841,1707.038,1114.5
4,116.571,89.812,2717.969,1693.938,1114.5
5,97.808,79.741,2699.223,1681.925,1114.5
6,61.667,48.65,2663.07,1641.748,1114.5
7,63.989,57.186,2665.428,1627.766,1114.5
8,79.931,62.316,2681.39,1646.908,1114.5
9,112.023,85.362,2713.491,1665.652,1114.5
10,147.275,110.336,2748.734,1687.615,1114.5
11,154.388,112.673,2755.843,1694.045,1114.5
12,168.683,117.373,2770.16,1706.993,1114.5
13,228.527,164.431,2830.009,1740.262,1114.5
14,251.97,195.295,2853.445,1746.866,1114.5
15,280.494,220.681,2881.975,1760.484,1114.5
16,317.941,248.025,2919.432,1782.631,1114.5
17,385.267,337.917,2986.759,1802.396,1114.5
18,424.949,369.033,3026.448,1825.824,1114.5
19,198.927,136.822,2800.282,1741.003,1114.5
20,282.367,212.004,2883.753,1782.974,1114.5
21,306.67,240.396,2908.051,1792.193,1114.5
22,351.43,299.578,2952.831,1806.737,1114.5
23,147.861,108.06,2749.259,1714.415,1114.5
24,172.618,127.61,2774.024,1729.29,1114.5
25,213.834,159.861,2815.249,1753.667,1114.5
26,63.418,49.476,2664.831,1641.351,1114.5
27,66.652,51.031,2668.089,1641.067,1114.5
28,81.878,64.516,2683.335,1624.448,1114.5
29,95.993,76.851,2697.451,1615.484,1114.5
30,107.744,82.821,2709.206,1620.758,1114.5
31,147.798,122.404,2749.25,1635.027,1114.5
32,162.397,139.42,2763.836,1642.243,1114.5
33,181.214,168.678,2782.68,1639.036,1114.5
